Vanaf;Tot;Verbruik laag tarief;Verbruik hoog tarief;Teruglevering laag tarief;Teruglevering hoog tarief;Totaal;
2022-04-04 00:00;2022-04-04 01:00;0,68;0,00000;0,00;0,00;0,68;
2022-04-04 01:00;2022-04-04 02:00;1,03;0,00000;0,00;0,00;1,03;
2022-04-04 02:00;2022-04-04 03:00;1,18;0,00000;0,00;0,00;1,18;
2022-04-04 03:00;2022-04-04 04:00;0,65;0,00000;0,00;0,00;0,65;
2022-04-04 04:00;2022-04-04 05:00;0,54;0,00000;0,00;0,00;0,54;
2022-04-04 05:00;2022-04-04 06:00;0,63;0,00000;0,00;0,00;0,63;
2022-04-04 06:00;2022-04-04 07:00;0,70;0,00400;0,00;0,00;0,70;
2022-04-04 07:00;2022-04-04 08:00;0,00;0,65200;0,00;0,00;0,65;
2022-04-04 08:00;2022-04-04 09:00;0,00;0,34100;0,00;0,00;0,34;
2022-04-04 09:00;2022-04-04 10:00;0,00;0,30800;0,00;0,00;0,31;
2022-04-04 10:00;2022-04-04 11:00;0,00;0,16600;0,00;-0,01;0,16;
2022-04-04 11:00;2022-04-04 12:00;0,00;0,37800;0,00;0,00;0,38;
2022-04-04 12:00;2022-04-04 13:00;0,00;0,75500;0,00;-0,06;0,69;
2022-04-04 13:00;2022-04-04 14:00;0,00;0,61600;0,00;-0,03;0,59;
2022-04-04 14:00;2022-04-04 15:00;0,00;1,12600;0,00;0,00;1,13;
2022-04-04 15:00;2022-04-04 16:00;0,00;0,92500;0,00;0,00;0,93;
2022-04-04 16:00;2022-04-04 17:00;0,00;0,53300;0,00;0,00;0,53;
2022-04-04 17:00;2022-04-04 18:00;0,00;1,02300;0,00;0,00;1,02;
2022-04-04 18:00;2022-04-04 19:00;0,00;0,51200;0,00;0,00;0,51;
2022-04-04 19:00;2022-04-04 20:00;0,00;0,62300;0,00;0,00;0,62;
2022-04-04 20:00;2022-04-04 21:00;0,00;0,61800;0,00;0,00;0,62;
2022-04-04 21:00;2022-04-04 22:00;0,00;0,61600;0,00;0,00;0,62;
2022-04-04 22:00;2022-04-04 23:00;0,00;0,54200;0,00;0,00;0,55;
2022-04-04 23:00;2022-04-05 00:00;0,55;0,00000;0,00;0,00;0,55;
2022-04-04 00:00;2022-04-05 00:00;5,96;9,73800;0,00;-0,09;15,61;
